id,intent_hash,cardano_tx_hash,router_id,client_id,customer_id,destination_index,destination_chain_name,destination_contract_address,symbol,price,timestamp,status,error_code,error_message,retry_count,max_retries,fee_paid_lovelace,confirmed_at_depth,submitted_at_ms,confirmed_at_ms,failed_at_ms,created_at_ms
17,0x18d483e096f34bfd70682778d33d0ff023ebfc4007825788bef7415bd9c37099,"",client_test_01_router_default,client-test-01,customer-test-01,0,"","",CRCL,84000000000000000000,1781611059,failed,NonMonotonicNonce,"Intent for CRCL superseded on chain; not submitted.",0,0,,,,,1781611340499,1781611340499
18,0x81b21c399a443d9d4b56cc379407fcf1acd4ebd3f2b0ec818f2fa21fc9e5a3c0,af4cf9a08d20ab05dab70e3471fdf7bf8da380d92d428a8fc16665a9db4becfe,client_test_01_router_default,client-test-01,customer-test-01,0,"","",NVDA,"",0,confirmed,,,0,0,,,1781611455665,1781611520544,,1781611455665
19,0x81b21c399a443d9d4b56cc379407fcf1acd4ebd3f2b0ec818f2fa21fc9e5a3c0,"",client_test_01_router_default,client-test-01,customer-test-01,0,"","",NVDA,212150000000000005680,1781611415,failed,NonMonotonicNonce,"Oracle intent timestamp must be greater than the current on-chain timestamp; intent superseded, not submitted.",0,0,,,,,1781611525027,1781611525027
20,0x3c7726ad885bfbefbdadbf36caa5f301128f2565caa1c9affdaf6fb2dfca2da8,cbde9b5437a9d96e5af8590b18295672ab6db3401b109874cbabe6543676ae41,client_test_01_router_default,client-test-01,customer-test-01,0,"","",MSTR,"",0,confirmed,,,0,0,,,1781611618128,1781611638376,,1781611618128
21,0x3c7726ad885bfbefbdadbf36caa5f301128f2565caa1c9affdaf6fb2dfca2da8,"",client_test_01_router_default,client-test-01,customer-test-01,0,"","",MSTR,130990000000000009096,1781611577,failed,NonMonotonicNonce,"Oracle intent timestamp must be greater than the current on-chain timestamp; intent superseded, not submitted.",0,0,,,,,1781611642809,1781611642809
22,0x6fea86203077616ff59f69a687afe0ecb368ac30b1aaf9e48937b1ecbbc6a238,3351f29765780f11b039121f82269fb51001e0d1ce8725622cc122cdc0658b6e,client_test_01_router_default,client-test-01,customer-test-01,0,"","",CRCL,"",0,confirmed,,,0,0,,,1781611858742,1781611921633,,1781611858742
23,0x005647a448c57cfeeb6ed58f8dc64072b6142642b0073b89a7ee89b4013961a5,e9d91fd95d2bd5bba4ca8dee218368f9222cb0e6511734d25b992efc67143ffc,client_test_01_router_default,client-test-01,customer-test-01,0,"","",TSLA,"",0,failed,CrashRecovery,"daemon restarted with submitted transaction awaiting confirmation",0,0,,,1781611930996,,1781612195607,1781611930996
24,0x49484eabc215f1301df70b3dcd47ff8c48125d26c5ff35187a0d3a4c0b0105b6,"",client_test_01_router_default,client-test-01,customer-test-01,0,"","",SPYM,88650000000000005688,1781612056,failed,NonMonotonicNonce,"Oracle intent nonce must be greater than the current on-chain nonce; intent superseded, not submitted.",0,0,,,,,1781612240017,1781612240017
25,0x7661ab16adf6549568da6d899ab74c0db5f6c20c287776103f6e07a4edd4ecfc,2c0700e6233b13af68e12dfbabb9600d047ff13b0cd6b62364c6688c96037507,client_test_01_router_default,client-test-01,customer-test-01,0,"","",CRCL,"",0,confirmed,,,0,0,,,1781612445758,1781612492634,,1781612445758
26,0x9cbe3695c5eb0d3f748cf342d35d6e012485b8470c018b300e3da6aacc992b03,4770ed4d746b120b627e97d03bc8eade681281a4e2ffe95300e9ce20827f57fb,client_test_01_router_default,client-test-01,customer-test-01,0,"","",NVDA,"",0,confirmed,,,0,0,,,1781612508025,1781612522193,,1781612508025
